,TotalRows,APContact,BAddr1,BAddr2,BCity,BState,BZIPCode,Phone,Website,CustName,CustCode,CustCode_ID,PreviousModDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,LoadForCompany
0,159,Madison Mellman,36N 56th St,,Phoenix,AZ,85034,(602) 247-4370,,Currier Construction,CURRIER,SCC_4890,2023-04-11 10:11:43.427,1,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
1,159,ap,3828 N 35th Ave,,Phoenix,AZ,85017,(602) 243-2766,,Castle Steel,CASTLE STEEL,SCC_4891,2023-04-11 10:11:43.423,2,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
2,159,,303A Beeline,,Payson,,85541,928-472-5104,,Town Of  Payson,TOWN OF PAYS,SCC_4892,2023-04-11 10:11:43.467,3,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
3,159,Accounts Payable,406 E. Pioneer St.,,Phoenix,AZ,85040,602-497-4997,,Professional Piping Systems,PPS,SCC_4893,2023-04-11 10:11:43.447,4,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
4,159,,3618 E. LA SALLE STREET,,Phoenix,AZ,85040,602-437-0006,,FPF Industries,FPF IND,SCC_4894,2018-09-26 13:56:37.613,5,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
5,159,Eric,3738 E Miami Ave,,Phoenix,AZ,85040,602-437-4312,,Pioneer Equipment Inc,PIONEER EQUI,SCC_4895,2023-04-11 10:11:43.447,6,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
6,159,Melissa,3401 E Weir Ave,,Phoenix,AZ,85040,(602) 368-9379,,FMD Fabrication Service| LLC,FMD FABRICAT,SCC_4896,2023-04-11 10:11:43.433,7,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
7,159,Shannon,2301 West Broadway,,Phoenix,AZ,85041,602-276 4841,,OLT Fabrication,OLT,SCC_4897,2023-04-11 10:11:43.443,8,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
8,159,Connie Huston,1042 S. Lewis,,Mesa,AZ,85210,480-964-9041,,MMI Industrial & Steel,MILLING MACH,SCC_4898,2023-04-11 10:11:43.440,9,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
9,159,Accounts Payable,5026 E Beverly Rd,,Phoenix,AZ,85044,602.438.8577,,Southwest Metalsmiths,SOUTHWEST ME,SCC_4899,2023-04-11 10:11:43.460,10,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
10,159,Kelly,724 E Southern Pacific Dr,,Phoenix,AZ,85035,602-252-5754,,Capitol Engineering Co.,CAPITAL ENGI,SCC_4900,2023-04-11 10:11:43.423,11,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
11,159,A/P,1908 N. Rosemont,,Mesa,AZ,85205,420.751.6388  EX 103,,Copperstate Construction Services| Inc.,COPPERSTATE,SCC_4901,2023-04-11 10:11:43.427,12,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
12,159,sean,1312 E. Kaler Drive,,Phoenix,AZ,85020,602-626-4050,mountainscapers.com,Mountainscapers LLC.,MOUNTAINSCAP,SCC_4902,2023-04-11 10:11:43.440,13,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
13,159,A/P,,,,,,602-799-3597,,PCL Construction,PCL,SCC_4904,2023-04-11 10:11:43.443,14,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
14,159,accounts Payable,2342 S McClintock Dr,,TEMPE,AZ,85282,480-557-6100,,Talis Construction Corp.,TALIS CONSTR,SCC_4906,2023-04-11 10:11:43.463,15,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
15,159,A/P,3020 E Camelback Rd Ste 100,Suite 1500,Phoenix,AZ,85016,602-416-7739,,Schuff Steel Company,SCHUFF STEEL,SCC_4907,2023-04-11 10:11:43.457,16,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
16,159,Clint Scott,21605 N 26th Ave,,Phoenix,AZ,85027,623-434-8343,,Advanced Metal Sales LLC,ADVANCED MET,SCC_4908,2023-04-11 10:11:43.403,17,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
17,159,Accounts Payable,1601 Buchanan Road,,Evansville,IN,47720,812-424-1239,,Separation By Design,SEPARATION B,SCC_4909,2023-04-11 10:11:43.457,18,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
18,159,,1138 N Alma School Road207,207,Mesa,AZ,85201,602-345-8600,,Layne,LAYNE,SCC_4910,,19,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
19,159,,201 S. 26th Street,,Phoenix,AZ,85034,602-757-6108,,Hennesy Mechanical Systems,HENNESY MECH,SCC_4911,,20,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
20,159,Accounts Payable,203 Murray Rd SE,,Albuquerque,NM,87105,505-877-5454,,Alstate Steel,ALSTATE,SCC_4912,2023-04-11 10:11:43.420,21,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
21,159,A/P,8743 E. Pecos Rd. Suite 122,,Mesa,AZ,85212,480.663.3166,,Tenshon,TENSHON,SCC_4914,2023-04-11 10:11:43.463,22,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
22,159,Cassidy Ludwig,Yellow Jacket Drilling Services| LLC 3922 E University Dr.| Suite 1 Phoenix| AZ 85034,,Phoenix,AZ,85034,602-453-3252,,Yellow Jacket Drilling,YELLOW JACKE,SCC_4915,2023-04-11 10:11:43.467,23,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
23,159,AP,,,,,,602-253-7875,,DESERT COATING SOLUTION LLC,DESERT COATI,SCC_4916,2023-04-11 10:11:43.427,24,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
24,159,Andrew Dewar,7706 N 71st Ave,,Glendale,AZ,85303,623-979-3560,http://www.nationalpumpcompany.com/,National Pump Company,NATIONAL PUM,SCC_4917,2023-04-11 10:11:43.440,25,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
25,159,Stephanie Thomas,,,,,,480-545-8484,,Pump System AZ,PUMP SYSTEM,SCC_4918,2023-04-11 10:11:43.450,26,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
26,159,Kurt Kauffman,,,,,,602-694-0996,,4K Painting & Trim,4K PAINTING,SCC_4919,2023-04-11 10:11:43.387,27,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
27,159,,1945 W Broadway Rd,,Phoenix,AZ,85041,(602) 288-1471,www.jvdriverfabricators.com,JV Driver Fabricators,JV DRIVER,SCC_4920,,28,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
28,159,,,,,,,623-451-1693,,WILL HYDRAULICS,WILL HYDRAUL,SCC_4921,,29,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
29,159,Lori Brady,P.O. Box 117,,Scottsdale,AZ,85252,480-994-9455,,Agate Steel,AGATE STEEL,SCC_4922,2023-04-11 10:11:43.403,30,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
30,159,,3501 E. Broadway Rd,,Phoenix,AZ,85040,602-243-0585,,James| Cooke and Hobson| Inc.,JCH,SCC_4923,,31,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
31,159,,1645 W. Buckeye Road,,Phoenix,AZ,85007,602-252-0554,,Tri Star Industrial Company,TRI STAR,SCC_4924,,32,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
32,159,Melissa,3342 E. Wier Ave.,,Scottsdale,AZ,85256,602-368-2010,,Oil & Gas Process Solutions,OIL & GAS PR,SCC_4925,2019-03-25 08:19:31.807,33,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
33,159,Cindy Argyle,1841 S. Horne,,Mesa,AZ,85204,480-248-7635,,Brahma Group| Inc,BRAHMA GROUP,SCC_4926,2023-04-11 10:11:43.420,34,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
34,159,Accounts Payable,3240 S. 37th Ave,,Phoenix,AZ,85009,602-272-6000,http://mmitank.com/,MMI Tank,MMI TANK,SCC_4927,2023-04-11 10:11:43.440,35,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
35,159,Chris Henderson,5136 S Desert View Drive,,Apache Junction,AZ,85120,480-688-7297,,Rolling Plains,ROLLING PLAI,SCC_4928,2023-04-11 10:11:43.453,36,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
36,159,,,,,,,480-325-0812,,WALTER,WALTER VASQU,SCC_4929,,37,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
37,159,,8112 West Buckeye Road,,Phoenix,AZ,85043,623-936-7181,,Bunger Steel,BUNGER STEEL,SCC_4930,,38,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
38,159,Chad Kauffman,316 South Price Rd,,Tempe,AZ,85281,602-525-0360,,Industrial Inspection & Consul,INDUSTRIAL I,SCC_4931,2023-04-11 10:11:43.437,39,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
39,159,Christie Simmons,4320 E. Presidio St.Suite 111,Suite 111,Mesa,AZ,85215,480-892-7509,www.graywolf.com,GrayWolf Industrial,GRAYWOLF,SCC_4932,2023-04-12 10:31:21.270,40,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
40,159,,,,,,,623-925-5696,,Vic's Welding Co. LLC,VIC'S WELD,SCC_4934,,41,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
41,159,Freddy Beltran,4150 E Quartz Circle,,Mesa,AZ,85215,480-830-2253,,Able Steel Fabricators,ABLE STEEL F,SCC_4935,2023-04-11 10:11:43.400,42,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
42,159,,,,,,,602-695-0174,,RMR Fabrication,RMR FABRICAT,SCC_4936,2019-05-16 15:58:10.007,43,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
43,159,Terry Hembree,,,Peroria,AZ,85009,602-689-8248,,All Metal Specialties,ALL METAL S,SCC_4937,,44,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
44,159,,825 W. Beechcraft St,,Casa Grande,AZ,85122,520-421-9968,www.acousa.com,ACO INC,ACO INC,SCC_4938,,45,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
45,159,A/P,1725 W 10th Place,,Tempe,AZ,85281,602-323-9125,,Tru-Stop Inc,TRU-STOP,SCC_4939,2023-04-11 10:11:43.467,46,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
46,159,,,,,,,,,Sparkman Enterprises,SPARKMAN ENT,SCC_4940,,47,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
47,159,Larry Lynch,7620 E McKellips RdSuite 4-71,Suite 4-71,Scottsdale,AZ,85257,,,Ensolutions Inc,ENSOLUTIONS,SCC_4941,2023-04-11 10:11:43.430,48,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
48,159,,,,,,,,,Innovative Industrial,INNOVAT INDU,SCC_4942,,49,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
49,159,,,,Phoenix,AZ,,602-810-3131,,Chris Cartlidge,CARTLIDGE C,SCC_4943,2023-04-11 10:11:43.423,50,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
50,159,Accounting,12266 Branford Street|   Sun Valley| CA 91352,,Sun Valley,CA,91352,602-295-3744,,Spartan Truck Company Inc,SPARTAN TRUC,SCC_4944,2023-04-11 10:11:43.460,51,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
51,159,,,,,,,,,Rick - MMI,RICK - MMI,SCC_4945,2023-04-11 10:11:43.450,52,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
52,159,Tony Boulos,,,,,,602-721-3911,,Fire Up Fredom,FIREUPFREEDO,SCC_4946,2023-04-11 10:11:43.433,53,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
53,159,Accounts Payable,11140 N 136th Ave,,Phoenix,AZ,85035,4804640011,,Felix Construction,FELIX CONSTR,SCC_4947,2023-04-11 10:11:43.433,54,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
54,159,AP,501 E Comstock Drive,,Chandler,AZ,85225,4804973140,,K.T. Fabrication| Inc,KT FAB,SCC_4948,2023-04-11 10:11:43.437,55,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
55,159,Karen,2439 S 49th Avenue,,Phoenix,AZ,85043,602-272-3600,,Magnum Engineering Inc.,MAGNUM,SCC_4949,2023-04-11 10:11:43.440,56,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
56,159,Accounts Payable,5100 S 36th Street,,Phoenix,AZ,85040,602-232-2994,,Phoenix Pumps| Inc.,PHOENIX PUMP,SCC_4950,2023-04-11 10:11:43.447,57,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
57,159,,3137 W Lincoln St,,Phoenix,AZ,85009,602.269.1755,,TRW Steel,TRW STEEL,SCC_4951,,58,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
58,159,,7506 W Madison Street,,Tolleson,AZ,85353,623-907-8754,,Gicon Pumps & Equipmt,GICON PUMPS,SCC_4952,2023-04-11 10:11:43.433,59,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
59,159,,450 E Pima Street 2,,Phoenix,AZ,85004,602.606.7658,,Denali Metalworks,DENALI,SCC_4954,,60,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
60,159,Jane Cook,42554 Sante Fe Drive,,Kingman,AZ,86401,602-281-1608,www.laron.com,Laron Inc - PHX,LARON,SCC_4955,2023-04-11 10:11:43.440,61,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
61,159,,223 Foster Street,,Martinez,CA,94533,(925) 229-0732,www.bajacarports.com,Baja Construction,BAJA CONSTRU,SCC_4956,2019-12-04 14:23:42.697,62,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
62,159,,3530 E Atlanta Ave,,Phoenix,AZ,85040,602.595.7801 X207,,Tru Metal Solutions,TRU MET SOLU,SCC_4957,2019-12-11 16:16:56.357,63,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
63,159,Brien Higgins,1001 S Edward Drive,,Tempe,AZ,85281,480-967-5810,,SDB Contracting Services,SDB CONTRACT,SCC_4958,2023-04-11 10:11:43.457,64,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
64,159,,411 East Frye Rd,,Chandler,AZ,85225,888.965.3227,,Old Castle Infrastructure,OLD CASTLE I,SCC_4959,,65,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
65,159,,,,,,,,,City of Sedona,SEDONA CITY,SCC_4960,,66,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
66,159,Accounts Payable,4415 W. Magnolia St.,,Phoenix,AZ,85043,602-272-9393,,Rimex,RIMEX,SCC_4961,2023-04-11 10:11:43.450,67,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
67,159,Virginia Parish,2605| I-27,,Lubbock,TX,79404,806-747-3411,,Simflo Pump,SIMFLO,SCC_4962,2023-04-11 10:11:43.457,68,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
68,159,,735 N 19th AvenuePhoenix  AZ  85009,,Phoenix,AZ,85009,602-257-1200,,Smith Pipe and Steel,SMITH PIPE,SCC_4963,2023-04-11 10:11:43.460,69,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
69,159,,3637 E. Anne St.,,,,,602-437-0276,,MetalFab AZ,METALFAB AZ,SCC_4964,,70,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
70,159,Ron Ruff,3883 W. Lower Buckeye Rd.,,Phoenix,AZ,85009,602.278.5581,,R.J. Ruff & CO.,RJ RUFF & CO,SCC_4965,2023-04-11 10:11:43.450,71,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
71,159,1st Time invoice Submission,100 s Roosevelt Avenue,,Chandler,AZ,85226,480-961-8295,,Rogers Corporation,ROGERS,SCC_4966,2023-04-11 10:11:43.453,72,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
72,159,Invoices payment,2122 S Hardy Drive,,Tempe,AZ,85282,480-627-8216,www.schreiberfoods.com,Schreiber Foods,SCHRIEBER,SCC_4967,2023-04-11 10:11:43.453,73,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
73,159,Accounts Payable,2160 Superstition Blvd,,Apache Junction,AZ,85120,602-999-1188,,Transco Inc,TRANSCO,SCC_4968,2023-04-11 10:11:43.467,74,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
74,159,Antonia,4205 W. Lower Buckeye Rd,,Phoenix,AZ,85009,602-455-4310,,S Diamond Steel,S DIAMOND ST,SCC_4969,2023-04-11 10:11:43.453,75,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
75,159,Jill Bagwell,3620 S 40th Street,,Phoenix,AZ,85040,480-993-3302,,Phoenix Tower Crane,PHOENIX TOW,SCC_4971,2023-04-11 10:11:43.447,76,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
76,159,,2 N. Central AvenueSuite 1600,,Phoenix,AZ,85004,602.567.4000,,Brown and Caldwell,BROWN AND CA,SCC_4972,,77,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
77,159,Kim Rivera,1881 East University Drive,,Phoenix,AZ,85034,602-437-3015,,Keller Electrical Ind,KELLER ELEC,SCC_4973,2023-04-11 10:11:43.437,78,Y,2023-04-13 12:46:28.607,SCC_Customer.csv,STANDARD
